singular,plural,merged
magnetic field,magnetic fields,magnetic field(s)
neutron star,neutron stars,neutron star(s)
wave function,wave functions,wave function(s)
phase transition,phase transitions,phase transition(s)
fixed point,fixed points,fixed point(s)
quantum dot,quantum dots,quantum dot(s)
neutrino mass,neutrino masses,neutrino mass(es)
bose einstein condensate,bose einstein condensates,bose einstein condensate(s)
neutrino oscillation,neutrino oscillations,neutrino oscillation(s)
structure function,structure functions,structure function(s)
black hole,black holes,black hole(s)
globular cluster,globular clusters,globular cluster(s)
ground state,ground states,ground state(s)
quark mass,quark masses,quark mass(es)
branching fraction,branching fractions,branching fraction(s)
upper limit,upper limits,upper limit(s)
cmb anisotropy,cmb anisotropies,cmb anisotropy(ies)
mixing angle,mixing angles,mixing angle(s)
gauge theory,gauge theories,gauge theory(ies)
bound state,bound states,bound state(s)
gravitational wave,gravitational waves,gravitational wave(s)
quantum phase transition,quantum phase transitions,quantum phase transition(s)
cross section,cross sections,cross section(s)
low temperature,low temperatures,low temperature(s)
quantum walk,quantum walks,quantum walk(s)
topological insulator,topological insulators,topological insulator(s)
landau level,landau levels,landau level(s)
optical lattice,optical lattices,optical lattice(s)
light curve,light curves,light curve(s)
random walk,random walks,random walk(s)
markov chain,markov chains,markov chain(s)
social network,social networks,social network(s)
thin film,thin films,thin film(s)
single crystal,single crystals,single crystal(s)
neural network,neural networks,neural network(s)
lower bound,lower bounds,lower bound(s)
upper bound,upper bounds,upper bound(s)
convolutional neural network,convolutional neural networks,convolutional neural network(s)
convolutional neural network cnn,convolutional neural networks cnns,convolutional neural network(s) cnn(s)
optimization problem,optimization problems,optimization problem(s)
convolutional network,convolutional networks,convolutional network(s)
hidden layer,hidden layers,hidden layer(s)
recurrent neural network,recurrent neural networks,recurrent neural network(s)
quantum computer,quantum computers,quantum computer(s)
phase diagram,phase diagrams,phase diagram(s)
large number,large numbers,large number(s)
data set,data sets,data set(s)
high accuracy,high accuracies,high accuracy(ies)
numerical simulation,numerical simulations,numerical simulation(s)
field theory,field theories,field theory(ies)
dynamical system,dynamical systems,dynamical system(s)
state space,state spaces,state space(s)
art performance,art performances,art performance(s)
low energy,low energies,low energy(ies)
time evolution,time evolutions,time evolution(s)
generative model,generative models,generative model(s)
open problem,open problems,open problem(s)
boundary condition,boundary conditions,boundary condition(s)
high temperature,high temperatures,high temperature(s)
vector space,vector spaces,vector space(s)
decision making,decision makings,decision making(s)
parameter space,parameter spaces,parameter space(s)
distribution function,distribution functions,distribution function(s)
closed form,closed forms,closed form(s)
sufficient condition,sufficient conditions,sufficient condition(s)
test set,test sets,test set(s)
system size,system sizes,system size(s)
energy density,energy densities,energy density(ies)
trade off,trade offs,trade off(s)
artificial intelligence,artificial intelligences,artificial intelligence(s)
next generation,next generations,next generation(s)
first principle,first principles,first principle(s)
classification task,classification tasks,classification task(s)
differential equation,differential equations,differential equation(s)
time step,time steps,time step(s)
critical point,critical points,critical point(s)
computational complexity,computational complexities,computational complexity(ies)
improved performance,improved performances,improved performance(s)
black box,black boxes,black box(es)
ground truth,ground truths,ground truth(s)
steady state,steady states,steady state(s)
network architecture,network architectures,network architecture(s)
attention mechanism,attention mechanisms,attention mechanism(s)
deep neural network,deep neural networks,deep neural network(s)
spatial resolution,spatial resolutions,spatial resolution(s)
inverse problem,inverse problems,inverse problem(s)
optimal solution,optimal solutions,optimal solution(s)
optimal control,optimal controls,optimal control(s)
theoretical framework,theoretical frameworks,theoretical framework(s)
euclidean space,euclidean spaces,euclidean space(s)
metric space,metric spaces,metric space(s)
loss function,loss functions,loss function(s)
research area,research areas,research area(s)
random variable,random variables,random variable(s)
data collection,data collections,data collection(s)
probability distribution,probability distributions,probability distribution(s)
initial condition,initial conditions,initial condition(s)
binary system,binary systems,binary system(s)
initial datum,initial data,initial datum (data)
finite temperature,finite temperatures,finite temperature(s)
spatial distribution,spatial distributions,spatial distribution(s)
classification accuracy,classification accuracies,classification accuracy(ies)
electronic structure,electronic structures,electronic structure(s)
convergence rate,convergence rates,convergence rate(s)
downstream task,downstream tasks,downstream task(s)
adversarial attack,adversarial attacks,adversarial attack(s)
image classification,image classifications,image classification(s)
ml model,ml models,ml model(s)
final state,final states,final state(s)
band structure,band structures,band structure(s)
objective function,objective functions,objective function(s)
stellar mass,stellar masses,stellar mass(es)
mathematical model,mathematical models,mathematical model(s)
partial differential equation,partial differential equations,partial differential equation(s)
training set,training sets,training set(s)
power law,power laws,power law(s)
